Taxa	PC1	PC2	PC3	PC4	PC5
CRR1628720	1.5890217	-15.248197	-10.603516	10.600928	7.4287834
CRR1628721	3.456782	-15.965685	-8.325746	9.379801	8.155261
CRR1628722	3.4138749	-15.358955	-8.698017	8.8124695	7.7692766
CRR1628723	1.8950882	-15.775542	-10.333423	11.216346	7.064716
CRR1628724	1.4163264	-16.203215	-9.747227	10.795608	6.7545733
CRR1628725	1.7034049	-15.8806095	-9.559335	9.701322	7.7743874
CRR1628726	2.9409397	-15.859061	-9.369752	10.606639	7.973102
CRR1628727	2.9504206	-14.9393015	-9.710503	11.886995	6.712056
CRR1628728	3.1726687	-15.35915	-10.054093	10.024952	8.151656
CRR1915072	-20.861551	-7.58625	-1.9291997	3.79513	-5.4605985
CRR1915073	-17.135405	-11.051763	-1.873749	-7.9794173	4.48949
CRR1915074	-18.557405	-11.51056	1.7078487	5.0807505	-5.4051423
CRR1915075	-14.052073	-10.076274	3.526356	0.71072584	-6.432749
CRR1915076	-17.676294	-12.3734865	3.7471616	3.6731057	-6.7997093
CRR1915077	-15.531318	-13.729182	2.113967	-4.635916	-2.1360033
CRR1915078	-10.704552	-13.613459	3.2794578	-7.7393103	-0.7113124
CRR1915079	-15.725233	-9.3543	4.1881175	-13.00189	2.453981
CRR1915080	-12.8981905	-10.764693	6.6739373	-4.6428223	-7.449001
CRR1915081	-13.766862	-9.004034	7.975889	-0.329222	-0.22226952
CRR1915082	-19.214994	-13.944353	3.5049706	-6.7574434	-8.16434
CRR1915083	-23.69831	-6.9584684	2.3801494	-3.3329804	-10.226618
CRR1915084	-17.535255	-8.290124	-1.0715908	10.545635	-12.234666
CRR1915085	-17.873085	-12.293539	0.8519955	6.43233	-10.548265
CRR1915086	-14.560665	-8.115039	0.3609095	-2.9691143	6.1517215
CRR1915087	-16.850166	-14.858827	-1.2619563	-3.0641234	-3.7762866
CRR1915088	-15.784797	-8.374089	3.1565871	-4.4296775	0.6704697
CRR1915089	-15.620289	-11.0782995	8.85883	0.8069812	-8.093065
CRR1915090	-20.953995	-9.201982	-1.0461457	10.373715	-14.631337
CRR1915091	-12.936663	-11.178834	-1.7742568	7.4324064	-4.925517
CRR1915092	-18.77505	-8.701488	0.19944923	4.987936	-8.196676
CRR1915093	-18.597927	-5.5242004	0.14164259	1.5350331	-7.239421
CRR1915094	-19.25617	-9.850838	3.427156	5.588085	-8.385736
CRR1915095	-17.003458	-14.337005	1.5545672	-1.3492496	-6.683035
CRR1915096	-16.91126	-14.735868	0.69063205	-0.92442566	-5.246161
CRR1915097	-18.56774	-13.348698	-0.3973105	5.9168844	-9.775404
CRR1915098	-16.911709	-13.266089	0.6867153	0.43244368	-2.6830695
CRR1915099	-16.150038	-9.032122	0.11102282	5.3927045	-5.402122
CRR1915100	-18.46809	-10.446394	0.87753254	-0.9500621	-5.5016437
CRR1915101	-14.962727	-9.072772	-3.742028	3.5262914	-7.239126
CRR1915102	-24.184921	-12.369518	-1.1180571	3.3362055	-13.791315
CRR1915103	-13.363728	-9.437095	-1.8635643	4.238491	0.26724494
CRR1915104	-23.47591	-7.5007734	0.50061303	9.507581	-12.153466
CRR1915105	-11.919044	-8.782299	2.93077	-2.0229814	2.7929277
CRR1915106	-15.674252	-5.9653134	-2.8045924	0.6233739	5.602282
CRR1915107	-18.042238	-13.835962	3.839798	-5.8226643	-9.338823
CRR1915108	-18.526047	-8.70314	-2.1875064	3.1200387	-6.806016
CRR1915109	-21.152832	-5.8888125	-2.5120072	7.8143253	-4.2162185
CRR1915110	-13.090162	-13.768734	1.1027985	-0.20868614	3.1321313
CRR1915111	-15.769713	-9.536652	-3.367957	3.7186687	-0.21416481
CRR1915112	-17.474682	-11.700913	0.99019843	-10.295781	3.8557184
CRR1915113	-14.97597	-5.7148933	-3.0219774	0.9743218	-1.9841315
CRR1915114	-14.657301	-14.671802	5.3018622	8.377357	-5.9225583
CRR1915115	-15.427594	-8.7365675	-1.5283232	5.2777576	-8.01029
CRR1915116	-18.395199	-10.283657	-0.53231704	3.9211864	-7.1469803
CRR1915117	-15.419324	-9.88211	-2.1686013	3.2452672	-1.0859139
CRR1915118	-19.14231	-9.526679	-3.4709759	6.5286508	-5.935357
CRR1915119	-19.35218	-11.93506	-3.0444558	-1.9411507	-4.0952144
CRR1915120	-21.902798	-10.425643	0.7771463	0.99228734	-20.804304
CRR1915121	-20.65406	-12.566425	-0.65971357	4.0529466	-13.797028
CRR1915122	-15.732213	-2.9697163	-8.133495	6.1040125	-5.454756
CRR1915123	-22.394762	-4.227222	-3.0363326	4.1830673	-12.844679
CRR1915124	-20.413885	-1.1051955	-4.2764645	7.4936957	-4.130091
CRR1915125	-20.594954	-7.756959	-2.290245	-2.975606	-8.534727
CRR1915126	-20.818295	-0.44487438	-7.456104	7.1697106	-14.578397
CRR1915127	-18.280298	-10.453275	-1.964596	13.171323	-8.021343
CRR1915128	-17.326733	-17.738688	3.5506542	-7.365407	-7.573816
CRR1915129	-15.976527	-9.942707	1.4258753	-2.1290958	-3.4768112
CRR1915130	-15.63824	-15.923366	5.246533	-5.361295	-3.0600216
