Source_Shorthand	ProjectNumber	Name	Crop_Type	DB_ID	Species	SRA_ID	sample_accession	Year Collected	submission_accession	instrument_platform	country	Continent	sample_description	secondary_study_accession	sample_title	cultivar	sample_alias	run_alias	experiment_accession	Heterozygosity	Estimated.Coverage
WeishiGao	PRJCA035903	Gen-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1628720	SAMC4681010		CRA022783	ILLUMINA		NA				Gen-1		Gen-1	CRX1506487	0.84606	33.147
WeishiGao	PRJCA035903	Gen-2	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1628721	SAMC4681011		CRA022783	ILLUMINA		NA				Gen-2		Gen-2	CRX1506488	0.84632	34.2751
WeishiGao	PRJCA035903	Gen-3	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1628722	SAMC4681012		CRA022783	ILLUMINA		NA				Gen-3		Gen-3	CRX1506489	0.84586	39.2171
WeishiGao	PRJCA035903	Jing-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1628723	SAMC4681013		CRA022783	ILLUMINA		NA				Jing-1		Jing-1	CRX1506490	0.83766	38.0115
WeishiGao	PRJCA035903	Jing-2	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1628724	SAMC4681014		CRA022783	ILLUMINA		NA				Jing-2		Jing-2	CRX1506491	0.83222	38.2327
WeishiGao	PRJCA035903	Jing-3	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1628725	SAMC4681015		CRA022783	ILLUMINA		NA				Jing-3		Jing-3	CRX1506492	0.85252	36.6705
WeishiGao	PRJCA035903	Ye-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1628726	SAMC4681016		CRA022783	ILLUMINA		NA				Ye-1		Ye-1	CRX1506493	0.84794	35.94
WeishiGao	PRJCA035903	Ye-2	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1628727	SAMC4681017		CRA022783	ILLUMINA		NA				Ye-2		Ye-2	CRX1506494	0.84895	38.9746
WeishiGao	PRJCA035903	Ye-3	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1628728	SAMC4681018		CRA022783	ILLUMINA		NA				Ye-3		Ye-3	CRX1506495	0.85614	35.2757
WeishiGao	PRJCA035903	A-2-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915072	SAMC5315350		CRA026888	ILLUMINA		NA				A-2-1		A-2-1	CRX1780918	0.06403	10.578
WeishiGao	PRJCA035903	A-4-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915073	SAMC5315351		CRA026888	ILLUMINA		NA				A-4-1		A-4-1	CRX1780919	0.39374	10.2012
WeishiGao	PRJCA035903	A-5-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915074	SAMC5315352		CRA026888	ILLUMINA		NA				A-5-1		A-5-1	CRX1780920	0.53494	9.3087
WeishiGao	PRJCA035903	A-6-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915075	SAMC5315353		CRA026888	ILLUMINA		NA				A-6-1		A-6-1	CRX1780921	0.34072	9.35573
WeishiGao	PRJCA035903	A-7-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915076	SAMC5315354		CRA026888	ILLUMINA		NA				A-7-1		A-7-1	CRX1780922	0.55588	10.0852
WeishiGao	PRJCA035903	A-9-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915077	SAMC5315355		CRA026888	ILLUMINA		NA				A-9-1		A-9-1	CRX1780923	0.10745	10.0654
WeishiGao	PRJCA035903	A-20-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915078	SAMC5315356		CRA026888	ILLUMINA		NA				A-20-1		A-20-1	CRX1780924	0.36325	9.23202
WeishiGao	PRJCA035903	A-22-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915079	SAMC5315357		CRA026888	ILLUMINA		NA				A-22-1		A-22-1	CRX1780925	0.01501	9.02652
WeishiGao	PRJCA035903	A-25-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915080	SAMC5315358		CRA026888	ILLUMINA		NA				A-25-1		A-25-1	CRX1780926	0.22603	9.14154
WeishiGao	PRJCA035903	A-27-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915081	SAMC5315359		CRA026888	ILLUMINA		NA				A-27-1		A-27-1	CRX1780927	0.49825	9.59028
WeishiGao	PRJCA035903	A-29-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915082	SAMC5315360		CRA026888	ILLUMINA		NA				A-29-1		A-29-1	CRX1780928	0.46217	9.87415
WeishiGao	PRJCA035903	A-40-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915083	SAMC5315361		CRA026888	ILLUMINA		NA				A-40-1		A-40-1	CRX1780929	0.11504	10.0496
WeishiGao	PRJCA035903	A-42-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915084	SAMC5315362		CRA026888	ILLUMINA		NA				A-42-1		A-42-1	CRX1780930	0.38681	9.98674
WeishiGao	PRJCA035903	A-44-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915085	SAMC5315363		CRA026888	ILLUMINA		NA				A-44-1		A-44-1	CRX1780931	0.19298	9.26079
WeishiGao	PRJCA035903	A-45-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915086	SAMC5315364		CRA026888	ILLUMINA		NA				A-45-1		A-45-1	CRX1780932	0.25265	8.50908
WeishiGao	PRJCA035903	A-49-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915087	SAMC5315365		CRA026888	ILLUMINA		NA				A-49-1		A-49-1	CRX1780933	0.42042	8.92105
WeishiGao	PRJCA035903	A-52-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915088	SAMC5315366		CRA026888	ILLUMINA		NA				A-52-1		A-52-1	CRX1780934	0.03872	10.3423
WeishiGao	PRJCA035903	A-54-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915089	SAMC5315367		CRA026888	ILLUMINA		NA				A-54-1		A-54-1	CRX1780935	0.49951	10.6445
WeishiGao	PRJCA035903	A-55-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915090	SAMC5315368		CRA026888	ILLUMINA		NA				A-55-1		A-55-1	CRX1780936	0.14551	9.19388
WeishiGao	PRJCA035903	A-56-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915091	SAMC5315369		CRA026888	ILLUMINA		NA				A-56-1		A-56-1	CRX1780937	0.08075	7.67908
WeishiGao	PRJCA035903	A-59-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915092	SAMC5315370		CRA026888	ILLUMINA		NA				A-59-1		A-59-1	CRX1780938	0.20536	9.73105
WeishiGao	PRJCA035903	A-60-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915093	SAMC5315371		CRA026888	ILLUMINA		NA				A-60-1		A-60-1	CRX1780939	0.05401	10.5123
WeishiGao	PRJCA035903	A-62-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915094	SAMC5315372		CRA026888	ILLUMINA		NA				A-62-1		A-62-1	CRX1780940	0.23204	8.55862
WeishiGao	PRJCA035903	A-64-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915095	SAMC5315373		CRA026888	ILLUMINA		NA				A-64-1		A-64-1	CRX1780941	0.12677	9.12071
WeishiGao	PRJCA035903	A-65-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915096	SAMC5315374		CRA026888	ILLUMINA		NA				A-65-1		A-65-1	CRX1780942	0.14494	8.93955
WeishiGao	PRJCA035903	A-67-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915097	SAMC5315375		CRA026888	ILLUMINA		NA				A-67-1		A-67-1	CRX1780943	0.14969	9.30898
WeishiGao	PRJCA035903	A-69-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915098	SAMC5315376		CRA026888	ILLUMINA		NA				A-69-1		A-69-1	CRX1780944	0.31118	9.40089
WeishiGao	PRJCA035903	A-70-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915099	SAMC5315377		CRA026888	ILLUMINA		NA				A-70-1		A-70-1	CRX1780945	-0.00078	9.84747
WeishiGao	PRJCA035903	A-72-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915100	SAMC5315378		CRA026888	ILLUMINA		NA				A-72-1		A-72-1	CRX1780946	0.15107	9.87197
WeishiGao	PRJCA035903	A-75-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915101	SAMC5315379		CRA026888	ILLUMINA		NA				A-75-1		A-75-1	CRX1780947	0.05452	8.77836
WeishiGao	PRJCA035903	A-76-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915102	SAMC5315380		CRA026888	ILLUMINA		NA				A-76-1		A-76-1	CRX1780948	0.26372	8.84078
WeishiGao	PRJCA035903	A-79-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915103	SAMC5315381		CRA026888	ILLUMINA		NA				A-79-1		A-79-1	CRX1780949	0.02745	8.9835
WeishiGao	PRJCA035903	A-90-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915104	SAMC5315382		CRA026888	ILLUMINA		NA				A-90-1		A-90-1	CRX1780950	0.49672	10.2089
WeishiGao	PRJCA035903	A-92-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915105	SAMC5315383		CRA026888	ILLUMINA		NA				A-92-1		A-92-1	CRX1780951	0.13904	9.3669
WeishiGao	PRJCA035903	A-95-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915106	SAMC5315384		CRA026888	ILLUMINA		NA				A-95-1		A-95-1	CRX1780952	0.03047	8.80318
WeishiGao	PRJCA035903	A-96-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915107	SAMC5315385		CRA026888	ILLUMINA		NA				A-96-1		A-96-1	CRX1780953	0.25264	10.3482
WeishiGao	PRJCA035903	A-99-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915108	SAMC5315386		CRA026888	ILLUMINA		NA				A-99-1		A-99-1	CRX1780954	-0.06887	9.30191
WeishiGao	PRJCA035903	B-2-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915109	SAMC5315387		CRA026888	ILLUMINA		NA				B-2-1		B-2-1	CRX1780955	0.01796	9.21292
WeishiGao	PRJCA035903	B-4-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915110	SAMC5315388		CRA026888	ILLUMINA		NA				B-4-1		B-4-1	CRX1780956	0.08679	8.79647
WeishiGao	PRJCA035903	B-5-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915111	SAMC5315389		CRA026888	ILLUMINA		NA				B-5-1		B-5-1	CRX1780957	0.04151	8.97413
WeishiGao	PRJCA035903	B-6-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915112	SAMC5315390		CRA026888	ILLUMINA		NA				B-6-1		B-6-1	CRX1780958	0.16752	9.26648
WeishiGao	PRJCA035903	B-22-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915113	SAMC5315391		CRA026888	ILLUMINA		NA				B-22-1		B-22-1	CRX1780959	0.1548	9.8895
WeishiGao	PRJCA035903	B-24-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915114	SAMC5315392		CRA026888	ILLUMINA		NA				B-24-1		B-24-1	CRX1780960	0.2729	7.97732
WeishiGao	PRJCA035903	B-25-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915115	SAMC5315393		CRA026888	ILLUMINA		NA				B-25-1		B-25-1	CRX1780961	0.07595	8.0101
WeishiGao	PRJCA035903	B-42-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915116	SAMC5315394		CRA026888	ILLUMINA		NA				B-42-1		B-42-1	CRX1780962	0.29697	7.84361
WeishiGao	PRJCA035903	B-45-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915117	SAMC5315395		CRA026888	ILLUMINA		NA				B-45-1		B-45-1	CRX1780963	-0.02328	9.26521
WeishiGao	PRJCA035903	B-46-1	Sugar beet		Beta vulgaris subsp. vulgaris	CRR1915118	SAMC5315396		CRA026888	ILLUMINA		NA				B-46-1		B-46-1	CRX1780964	-0.06346	9.46118
