SRA_ID	Total_Syn	Het_syn	Homo_syn
CRR1628720	110965	31921	39522
CRR1628721	116419	30771	42824
CRR1628722	115245	30969	42138
CRR1628723	112143	36315	37914
CRR1628724	113378	36142	38618
CRR1628725	115088	32240	41424
CRR1628726	116137	35319	40409
CRR1628727	114562	35828	39367
CRR1628728	116984	34788	41098
CRR1915072	121365	77509	21928
CRR1915073	121213	54403	33405
CRR1915074	128448	39992	44228
CRR1915075	129346	53430	37958
CRR1915076	126572	40752	42910
CRR1915077	132798	70754	31022
CRR1915078	135961	54129	40916
CRR1915079	130463	80133	25165
CRR1915080	129484	67600	30942
CRR1915081	131879	36953	47463
CRR1915082	124789	47265	38762
CRR1915083	123823	67361	28231
CRR1915084	125134	51876	36629
CRR1915085	127063	64219	31422
CRR1915086	123065	57753	32656
CRR1915087	127721	51023	38349
CRR1915088	126727	78355	24186
CRR1915089	132268	40398	45935
CRR1915090	126182	69354	28414
CRR1915091	129375	75731	26822
CRR1915092	128244	61078	33583
CRR1915093	125575	77847	23864
CRR1915094	128103	60881	33611
CRR1915095	130911	69985	30463
CRR1915096	130769	72361	29204
CRR1915097	129536	68036	30750
CRR1915098	123102	55186	33958
CRR1915099	128266	81586	23340
CRR1915100	123942	63978	29982
CRR1915101	128990	77574	25708
CRR1915102	127679	60559	33560
CRR1915103	126695	78679	24008
CRR1915104	120975	43407	38784
CRR1915105	126751	67103	29824
CRR1915106	122477	81609	20434
CRR1915107	130769	57217	36776
CRR1915108	129194	88864	20165
CRR1915109	121571	81015	20278
CRR1915110	127830	72800	27515
CRR1915111	125964	77378	24293
CRR1915112	124192	69674	27259
CRR1915113	126782	69746	28518
CRR1915114	131812	58088	36862
CRR1915115	124476	74826	24825
CRR1915116	126783	57061	34861
CRR1915117	128525	80629	23948
CRR1915118	125403	87369	19017
CRR1915119	126306	79348	23479
CRR1915120	128476	60942	33767
CRR1915121	125843	77601	24121
CRR1915122	119201	83971	17615
CRR1915123	123883	84885	19499
CRR1915124	127513	92481	17516
CRR1915125	127451	88687	19382
CRR1915126	120386	77932	21227
CRR1915127	127570	82692	22439
CRR1915128	132381	64867	33757
CRR1915129	129279	76815	26232
CRR1915130	133277	61861	35708
CRR1915131	133478	34292	49593
CRR1915132	133187	36889	48149
CRR1915133	134488	55366	39561
CRR1915134	136632	23196	56718
CRR1915135	133048	53746	39651
CRR1915136	125973	72713	26630
CRR1915137	129350	79996	24677
CRR1915138	125100	40492	42304
CRR1915139	122047	35909	43069
CRR1915140	129238	78506	25366
CRR1915141	126050	60570	32740
CRR1915142	127845	59483	34181
CRR1915143	131990	58494	36748
CRR1915144	126942	73970	26486
CRR1915145	129516	66762	31377
CRR1915146	128148	85570	21289
CRR1915147	136392	28486	53953
CRR1915148	127404	46524	40440
CRR1915149	128672	61192	33740
CRR1915150	127155	47483	39836
CRR1915151	128394	43918	42238
CRR1915152	126160	74750	25705
CRR1915153	129508	92124	18692
CRR1915154	122979	52951	35014
CRR1915155	122911	56613	33149
CRR1915156	123932	65836	29048
CRR1915157	126499	72389	27055
CRR1915158	116553	64185	26184
CRR1915159	126252	72154	27049
CRR1915160	127660	27226	50217
CRR1915161	124521	66149	29186
CRR1915162	124061	58981	32540
CRR1915163	127010	80208	23401
CRR1915164	123689	61339	31175
CRR1915165	127893	60733	33580
CRR1915166	127027	82965	22031
CRR1915167	128938	49682	39628
CRR1915168	123314	60774	31270
CRR1915169	136325	34647	50839
CRR1915170	130268	46770	41749
CRR1915171	114170	33908	40131
CRR1915172	127214	67906	29654
CRR1915173	137474	20042	58716
CRR1915174	121776	63630	29073
CRR1915175	129205	60751	34227
CRR1915176	132632	38690	46971
CRR1915177	134253	53999	40127
CRR1915178	135098	43398	45850
CRR1915179	122121	78585	21768
CRR1915180	128879	80239	24320
